sub_id,face_id,distance,familiar,sex,race,out_degree,in_degree,high,low,notes,,,
B4S-5c156,A7S-25a2868,stranger_L,0,female,ambiguous,1,-,0,1,,A7S-25a2868,No,
B4S-5c156,A2N-e9b6942,stranger_L,0,female,ambiguous,1,-,0,1,,A2N-e9b6942,No,
B4S-5c156,A7S-3850722,stranger_L,0,male,asian,2,-,0,1,considered high,A7S-3850722,No,
B4S-5c156,B2S-1c237,stranger_L,0,male,asian,4,5,0,1,selected HC,B2S-1c237,No,
B4S-5c156,B2S-028f7,stranger_L,0,male,ambiguous,2,1,0,1,selected LC,B2S-028f7,No,
B4S-5c156,B2S-098e2,stranger_L,0,male,ambiguous,3,2,0,1,,B2S-098e2,No,
B4S-85b47,B4S-0d005,distance_1,1,male,white,5,2,0,1,,,,
B4S-85b47,B4S-5c156,distance_1,1,female,ambiguous,3,11,1,0,,,,
B4S-85b47,B4S-755b1,distance_1,1,female,ambiguous,4,4,0,1,,,,
B4S-85b47,B4S-5dd42,distance_1,1,male,asian,3,8,1,0,,,,
B4S-85b47,B4S-26f7a,distance_2,1,female,hispanic,5,3,0,1,,,,
B4S-85b47,B4S-268f7,distance_2,1,female,asian,7,4,1,0,,,,
B4S-85b47,B4S-20545,distance_2,1,female,hispanic,8,3,1,0,,,,
B4S-85b47,B4S-628d9,distance_2,1,female,hispanic,2,1,0,1,,,,
B4S-85b47,B4S-20e50,distance_2,1,female,asian,6,5,1,0,,,,
B4S-85b47,B4S-950c1,distance_2,1,female,white,0,0,0,0,,,,
B4S-85b47,B4S-250d6,distance_3+,1,female,asian,2,1,,,,,,
B4S-85b47,B4S-2928b,distance_3+,1,female,asian,2,1,,,,,,
B4S-85b47,B4S-6d036,distance_3+,1,NA,NA,0,0,,,,,,
B4S-85b47,B4S-41f2f,distance_3+,1,NA,NA,0,0,,,,,,
B4S-85b47,B4S-642b3,distance_3+,1,NA,NA,0,0,,,,,,
B4S-85b47,B4S-0937b,distance_3+,1,female,asian,2,1,,,,,,
B4S-85b47,B4S-12fe3,distance_3+,1,female,hispanic,4,1,,,,,,
B4S-85b47,B4S-179d7,distance_3+,1,female,asian,2,2,,,,,,
B4S-85b47,B4S-98db4,distance_3+,1,male,white,0,1,,,,,,
B4S-85b47,B4S-1389c,distance_3+,1,female,asian,0,1,,,,,,
B4S-85b47,B4S-28413,distance_3+,1,male,asian,2,3,,,,,,
B4S-85b47,B4S-96e74,distance_3+,1,female,hispanic,2,1,,,,,,
B4S-85b47,B4S-17383,distance_3+,1,female,white,2,2,,,,,,
B4S-85b47,A2N-02d7020,stranger_H,0,female,asian,2,-,1,0,"high: 4F ambiguous, asian, hispanic (2); 1M asian ----- low: 4F ambiguous, hispanic (2), white ;1M white",,,
B4S-85b47,A2N-ce92808,stranger_H,0,female,asian,3,-,1,0,,,,
B4S-85b47,A2N-f330811,stranger_H,0,female,hispanic,3,-,1,0,,,,
B4S-85b47,A2N-a4a3154,stranger_H,0,female,hispanic,3,-,1,0,,,,
B4S-85b47,A2N-2273207,stranger_H,0,female,hispanic,5,-,1,0,,,,
B4S-85b47,A2N-9e74012,stranger_H,0,female,ambiguous,2,-,1,0,,,,
B4S-85b47,A7S-3850722,stranger_H,0,male,asian,2,-,1,0,,,,
B4S-85b47,B2S-1c237,stranger_H,0,male,asian,4,5,1,0,could be considered low,,,
B4S-85b47,A2N-68d0885,stranger_L,0,female,white,1,-,0,1,,,,
B4S-85b47,A2N-c083245,stranger_L,0,female,white,1,-,0,1,,,,
B4S-85b47,A7S-3062810,stranger_L,0,female,white,0,-,0,1,,,,
B4S-85b47,A2N-8686958,stranger_L,0,female,hispanic,0,-,0,1,,,,
B4S-85b47,A7S-1b12868,stranger_L,0,female,hispanic,1,-,0,1,,,,
B4S-85b47,A2N-c783915,stranger_L,0,female,hispanic,1,-,0,1,,,,
B4S-85b47,A2N-1dd2972,stranger_L,0,female,ambiguous,0,-,0,1,,,,
B4S-85b47,A2N-e594533,stranger_L,0,female,ambiguous,1,-,0,1,,,,
B4S-85b47,A7S-25a2868,stranger_L,0,female,ambiguous,1,-,0,1,,,,
B4S-85b47,A2N-e9b6942,stranger_L,0,female,ambiguous,1,-,0,1,,,,
B4S-85b47,B2S-028f7,stranger_L,0,male,ambiguous,2,1,0,1,,,,
B4S-85b47,B2S-098e2,stranger_L,0,male,ambiguous,3,2,0,1,,,,
B4S-26f7a,B4S-5dd42,distance_1,1,male,asian,3,8,1,0,selected LC,,,
B4S-26f7a,B4S-5c156,distance_1,1,female,ambiguous,3,11,1,0,,,,
B4S-26f7a,B4S-268f7,distance_1,1,female,asian,7,4,0,1,,,,
B4S-26f7a,B4S-20545,distance_1,1,female,hispanic,8,3,1,0,selected HC,,,
B4S-26f7a,B4S-20e50,distance_1,1,female,asian,6,5,0,1,,,,
B4S-26f7a,B4S-1389c,distance_2,1,female,asian,0,1,0,1,selected LC,,,
B4S-26f7a,B4S-755b1,distance_2,1,female,ambiguous,4,4,1,0,,,,
B4S-26f7a,B4S-0d005,distance_2,1,male,white,5,2,1,0,selected HC,,,
B4S-26f7a,B4S-628d9,distance_2,1,female,hispanic,2,1,0,1,,,,
B4S-26f7a,B4S-250d6,distance_3+,1,female,asian,2,1,,,,,,
B4S-26f7a,B4S-17383,distance_3+,1,female,white,2,2,,,,,,
B4S-26f7a,B4S-179d7,distance_3+,1,female,asian,2,2,,,,,,
B4S-26f7a,B4S-12fe3,distance_3+,1,female,hispanic,4,1,,,,,,
B4S-26f7a,B4S-642b3,distance_3+,1,male ,white,6,1,,,selected HC,,,
B4S-26f7a,B4S-41f2f,distance_3+,1,female,asian,0,1,,,selected LC,,,
B4S-26f7a,B4S-2928b,distance_3+,1,female,asian,2,1,,,,,,
B4S-26f7a,B4S-98db4,distance_3+,1,male,white,0,1,,,,,,
B4S-26f7a,B4S-950c1,distance_3+,1,,,,,,,,,,
B4S-26f7a,B4S-0937b,distance_3+,1,female,asian,2,1,,,,,,
B4S-26f7a,B4S-6d036,distance_3+,1,,,,,,,,,,
B4S-26f7a,B4S-96e74,distance_3+,1,female,hispanic,2,1,,,,,,
B4S-26f7a,B4S-28413,distance_3+,1,male,asian,2,3,,,,,,
B4S-26f7a,A7S-3850722,stranger_H,0,male,asian,2,-,1,0,selected LC,"high: 3F ambiguous (2), hispanic; 2M asian, white ----- low: 4F asian (3), hispanic",,
B4S-26f7a,B2S-1c237,stranger_H,0,male,asian,5,4,1,0,,,,
B4S-26f7a,B2S-19b85,stranger_H,0,male,ambiguous,6,4,1,0,selected HC,,,
B4S-26f7a,A2N-9e74012,stranger_H,0,female,ambiguous,2,-,1,0,,,,
B4S-26f7a,A2N-3c90871,stranger_H,0,female,hispanic,2,-,1,0,,,,
